iDnwt	.cnwtWrukurwh uLwvwyif egulwkcsiawb  (5) .uDnwgwdiawm egIrWtol iaWycaigwn (4)  .iawbwncnuh cSwmulurwh iawguhwg itekwtWLwa iawgEa  wtwvun ctwfegIhegWhwgcswg (3) .uLokcnwt wncnuh  cnehcaeLob Wrukurutia cnwvuLug WkwCcaea cnehea  itEa wtwvun cnwvuLug WCcawkenwa itwkea egWnwhwg  (2) .evekeCcaeawncnuh cSokcSwv cSokwmih Iaim  .caeaWnwhwg WrukcnunEb cnwLwa iawgutwa (1)	n	
WmctwriDnwt	.eveaenWv urwvcaelwmudnwvuh  Wmim .caelwmuduh wncnun caeaiDnwt egiawluk UdnIr  ctwr wncnuhwyifwh ,WvudcaehwvurIm egcaebWsih	n	
iawbiDnwt	.cawtiDnwt ELugcnegcnwLwa iawgutwa	n	
uLwviDnwt	.cnwtiruhiDnwt	n	
iawfiDnwt	.iawfinud	n	
oyekcnodiDnwt	.oyekubnwb wncnuh iawfevcnod iDnwt cnegevurwh	m	
WliDnwt	.caetwvWb  egWl wncnuh cSokwmih cSokilOf cSokctwr	n	
uDnwgiDnwt	.uDnwguDnwt	n	
cnuhejiDnwt	.cnurukurwh  caeLobwDuk iawgItwmirwa egItof cSwtogEvelcaeSwf  iawgItekwt wdwfitof egiawburwTcSwf	m	
uDnwt	.iDnwt	n	
uDnwguDnwt	.itwkea egIDnwt WLwa iawgutwa	n	
irukwnwt	.irukwnwk (.s)	n	
ehwvwnwt	.cswvwnwt (.g)	an	
cswvwnwt	.idnwscaum (4)  .ctoawgWj (3) .WrOf (2) .WLufWriaWd (1)	an	
cnwkcswvwnwt	.cnwkWLufWriaWd (4) .cnwkidnwscaum  (3) .cnwkctoawgWj (2) .cnwkWrOf (1)	nan	
cnuvcswvwnwt	.cnuvidnwscaum (3) .cnuvctogWvWLufWriaWd  (2) .cnuvctogEbilwgWj (1)	m	
uluzWnwt	.cnuvikwv  Wvikwv cnukwmwk (2) .WbikcaeaWvcnukwmwk (1)	n	
cnuvuluzWnwt	.cnuvikwvcnukwmwk  (2) .cnuvWbikcaea cnukwmwk (1)	m	
cnehcaelwnukiLeaunwt	.caehwb ELuaenub cnuvuDwm unol eruvcSwbWsih  ukwnehcnwa uriaWgcnih cnuLug Iscnij (3).caehwb  ELuaenub cnumuSef cneLua iawgcaeaegea cnehudwbwa  cnegcSokwdwg edwvcSwkwaeg (2) .caehwb ELuaenub  cnumuvwfUrwnwa ikih evoa iawgItwmcnwt uhwvud  wnigWm cnegevuDob ulWhilwb ukwhIm (1) :uzWjwm		
cnehWnukiLeaunwt	.caehwb ELuaenub udemWkwhImea cnumuSef  cneLuaedwv cSwkwaeg cniawnigWm ukwhIm :uzWjwm		
cnuvuDevunwt	.cnuvcaEb iawgcaeCcawmcnwt  wmwtwruf emcnea cnumuawa cSwaeyinud ukwjcauk	m	
cnureaitwmunwt	.cnuvurwv Evevudetun cnunwtihejcaeycawb (.g)	m	
ibOlunwt	.unuluk Ehej cSwkwnwtea iawgutih egWnEa  cnegevcswvudwnig WtELua iawgcaenwt ukwhIm	n	
enwt	.urodWvuLuh  (3) .Ol (2) .db .cnwt (1) (.g)	n	
iawlwbuncaerodcaenwt	.iawlunWkwmuncsiv  (2) .iawlwbun urodcnwt (1)	bg	
cnulebuncaerodcaenwt	.cnuluniawncsiv cSwkwfWscnia  cSwkwywmwh (2) .cnulebuncaeaim caeaea (1)	bg	
cnwt	.csercDea (3) .ulizcnwm (2) .wgWj (1)	n	
urwhcnwt	.cnulurwh  Wlurwh iawgcaenwt cnurWb egiawtiDcnwf	n	
cnurukurwhcnwt	.cnuliawvurwa cnuTcauh cSwkwtcnwk ikeaikea	m	
cnuvurwhcnwt	.cnuruhiawfivelunirih  cnukwnwtiruh cnurWbegiawtiDcnwf	m	
cnudehcnwt	.cnuruk  urWycawt wgWj (2) .cnudehwgWj cSwmunISia ukwhIm  wtwvun cSwmuTcaeheb caeCcaea iawgcaenwt (1)	m	
cnwtoyehcnwt	.cnwt iteDobwncnuhiawfiDnek  cniSot eguSwrcSwr ,cSwtogEvemukunedwv	n	
cnudOhcnwt	.uLokcswb egumuSef egumuyil (4) .cswbcsia  (3) .cnuSefegcaemwk (2) .cnuruk ihwfugwm  cSwkwawkwhWv ELuacnwkcawd wtwvun ELuacnwyil (1)	m	
incnwt	.evekeriawv WrukcnunEb iawkwTcSwmuLua iawrwa  cnwncnwb Wyir Iaim .uriawv wncnoaiawfiawvulea  cSwLokcaenwa cnuLokcaea iawguSwd egunWmurwf	n	
cnureairIbcnwt	.cnuruhiawfev urWhidcnwbed (.N)	m	
urIbcnwt	.urWhidcnwbed (.N)	an	
wrUbcnwt	.ureb wncnuh iawfiawdwh  cSwmuren cSokurwb cawtuDwacnub (2) .urwn  wncnuh cnegihej Wrwncnub iawgISof WTcaok (1)	n	
urUbcnwt	.wrUbcnwt (.s)	n	
urEbcnwt	.ubWsih wncnoa cnegnea  iDwa iawgutWrwf urEb egurwf cnegiLug Wrwf	n	
cnufihurEbcnwt	.cnuved cSwywmwh  WrEbcnwt cSwrwhwf udnwLua WdiawfcSokurutwd	m	
cnulutwaurEbcnwt	.cnuved cSwbWsih Egnea iDwa cnurEb egurwfurwf  iaWSwrcSwr cSwrwhwfudnwLua WdiawfcSokurutwd	m	
cnureaurEbcnwt	.cnuvedWa  cSwbWsih Egnea iDwa utWrwfIv WDnwk cnegiLug  Wrwf eguSwr cSwrwhwfudnwLua WdiawfcSokurutwd	m	
wkcnwt	.uawnuk (.db)	n	
cnuLetwkcnwt	.cnuLof ctikcsim (.db)	m	
Wkcnwt	.cnwrumIhWrcbia (.db)	n	
eDekcnwt	.uLokcnwt (.N)	n	
caeDekcnwt	.caeLokcnwt (.s.N)	n	
uLokcnwt	.caehwb ELuaenub cSwmurukcnWywb cnwkwDuk egunwt	n	
caeLokcnwt	.eruvcSwkwrwvikwv  .a (4) .caeawb egcaenwt wtwvun egcaeCcaea  (3) .caeLokcnibcsuh (2) .caeawgWj (1)	n	
cnuLeaiDnogWtctoacnwt	.cnuniacsog cnirukWm  egumuhej iDwg cSwnwtcnwt wdwfWsclwj ikeaikea :uzWjwm		
uLwvcnwt	.utugwv (3) .utwBuruf (2) .uLwviDnwd (1)	n	
cnudOhuLwvcnwt	.cnudOh caetugwv (3)  .cnudOh utwBuruf (2) .cnudOh uLwviDnwd (1)	m	
cnulebuLwvcnwt	.cnuruh iawlwbwlwb  OtEvcaetugwv (3) .cnuruh iawlwbwlwb cSwkwtwBuruf  (2) .cnuncsiv cSwkwLwviDnwd (1)	m	
cnuvwDukuLwvcnwt	.cnuvcnwtwDuk utugwv egcaemwk  (2) .cnuvuLwvcnwtun cnegevcnWdumwkuDob (1)	m	
cnuvuLwvcnwt	.cnubilutwBuruf (2) .cnuvutugwv (1)	m	
iSoduLwvcnwt	.iSod egEretEd WTcSoduruk ,iaWTcSodudem	n	
cnubiluLwvcnwt	.cnubil utugwv (3) .cnubil  utwBuruf (2) .cnubil uLwviDnwd (1)	m	
eLwvcnwt	.uLwvcnwt (.g)	n	
oLwvcnwt	.uLwvcnwt (.N)	n	
cnuvoLwvcnwt	.cnuvuLwvcnwt (.N)	m	
irwyivcnwt	.cnuLua ELua cnegcsiawnidin cnumuhej cnwdin  iawgcaenwt cnUncnwtELua iawdin cnegevwdWa	n	
cnuvirwyivcnwt	.cnutoaiLorufiLoruf  iawgItwmcnwt cnegcsiawnidin ,cnumuhej  cnwdin iawgcaenwt cnUncnwtWdin cnegevwdWa	m	
unIvcnwt	.ilifedEhej  cnukwtwvWbcaea cseviawgcaerukwa emcnok ibwrwA	n	
whwmcnwt	.eveaenWvwDuk wgnwa  eguhwm egutwvWbim .eveawgurwfurwf iaWycawgItwmuLwf  IneLua cswmim .eveaenWncnuh cSwgid eguhwm  caekwtugnoruLwk egurwvwncnuh cnimWLuf egurwTImilim  urwtwhcnit iawguhwmim .caetwvWb egIroa (.N.g)	n	
unukwmcnwt	.evekeCcaea WdwhiaobEl iawfwh iawgiawg egcnuhIm  Iaim .caeCcaeaErid Edefua iawgnWtcnwt wdwfiDnog  iaWTcawa udnea WdwhevOSoa ednISia cnuhIm	n	
Wtcawmcnwt	.itwmcnwt (.g)	n	
itwmcnwt	.iteawncnuh  iawfiawdwh cSwtogEhej Wlif uDnwb iawkwTcSwmuTcaeheb  Wtcnwt iaWSwmulEb iawlehea urwhwfuCcnWl  (4) .iteaWrukurwh irubiLoh ckircTckelia  (3) .itea Wrutwf iawkwTcSwmudin (2) .cnwtwncnuh  iawfcSokurWycawt cSwmudin iawgISwaudnea (1)	n	
cnudehitwmcnwt	.cnurukurWycawt caeCcawmcnwt (3) .cnudehcaeTcawa  cSwtogEhejWlifuDnwb uriaWvcaWb cSwairwa iawfiawlehea  iheCcaea wdwfurwhwfWn (2) .cnuLeaitwmcnwt (1)	m	
cnunwbitwmcnwt	.cnuvurWycawt cnWd cSwkwnwt  cnehea cnUncnwt ELua :uzWjwm (2) .cnuliawscawa  iawliawLoa itwmcnwt egWhImWdcSwrutwd (1)	m	
ilwbitwmcnwt	.ilwbctencnwk	n	
iDnobitwmcnwt	.iDnob Wviawfednwb iawLoa cSokcaea  itekwt wdwfWnuk iaWhIlWb WrukcnunEb cnwdin	n	
WyiDnobitwmcnwt	.iDnobitwmcnwt (.g)	n	
cnureaitwmcnwt	.cnuhejcaeycawb  wdwfEvevudetun cnitwmcnwt (.s.N)	m	
cnuLeaitwmcnwt	.cnurutefitwmcnwt (3) .cnurukubIturwt  caeCcaeaWhiruh Enemih cSwCcawmcnwt (2) .cnuLeailEf  ugnwlwf cSokitIr cawtcsIlWb iaWaiDwdog  wtwvun ,cnuscaejwmwh cSokitIr cawtcsIlWb  iaWlEncnwk ,iaWlwnuk egudnea (1)	m	
cnuvitwmcnwt	.cnuhejcnwncnoa  iawgudnea uhwvudwnig iawgulWHwkib	m	
urWfitwmcnwt	.urWfcnwt (.s)	n	
cswmcnwt	.eveaenWvwDukwgnwa  eguhwm egutwvWbim .eveawgItwmurwf iaWycawgItwmuLwf  IneLua cswmim .eveaenWncnuh cSwgid eguhwm  caekwtugnoruLwk egurwvwncnuh cnimWLuf egrwTImilim  urwtwhcnit iawguhwmim .caetwvWb egIroa (.s)	n	
cnimcnwt	.cnimWLuf emcnea EvuLuh	n	
uDumcnwt	.ulwdwbwncnwa cSwhwvegEa cnubwbws egumuv uriawnig  iawgulwyih ikihun iheCcaeactet (2) .urWduDumiDwh  Wvitekwtwdwf cnWrEf iaWrodegitOg (1)	n	
cnwkuDumcnwt	.cnwkwncnwaulwdwb  cSwhwv cnubwbws egumuruh uriawnig iawgulwyih  ikihun iheCcaeactet (2) .cnwkWvurWduDumiDwh  itekwtwdwf cnWrEf iaWrodegitOg (1)	nan	
WkuDumcnwt	.WhImwncnuh evunurihWtcniawg (.N) :uzWjwm	n	
whwvuDumcnwt	.cswvuDumcnwt (.s.N)	n	
cswvuDumcnwt	.cswvWvud cnubwbws  egumuruh uriawnig iawgulwyih ikihun iheCcaeactet  (2) .caehwvWvud cnubwbws egumuv urWduDumiDwh  itekwtwdwf cnWrEf iaWrodegitOg (1)	n	
cnuvuDumcnwt	.cnuviawbun  cswv cnubwbws egumuruh cSokctet ikihun	m	
WTwfcnwt	.cnwTcawd (.g)	n	
urWfcnwt	.urWfEdefua iawgiawg  WhImea cnubwbws egumutoa cSwkwtogcaea wtwvun  ,cSwkwtWrwfcaea udwbwa iawgcaenwtcaea ukwhImilwb	n	
cnuvurWfcnwt	.cnudefuaurWf iawgutWrwf  wncnoa cSwSwd cnubwbws egumutoa cSwkwtWrwfcaea  wtwvun cSwkwtogcaea udwbwa ukwhImilwb	m	
ihifcnwt	.ihufcnwt (2) .iLofcnwt (1) (.N)	n	
cnurukuJIfcnwt	.cnurukulwmwA  cSwCcawm egcaemukuH IAurwx wtwvun InUnWq	m	
ihufcnwt	.iLofcnwt	n	
caekufcnwt	.eveDobcaekufcnwt urwvwyit :ulWsim  .caehwb ELuaenub cSwmukcaed urwvcnim egcaeCcaea  wtwvuncaemwk .ta (2) .caeLokcnwtwDukwDuk (1)	n	
Wnofcnwt	.cnuhIm urWduDumiDwh (.s)	n	
inofcnwt	.caeCcaea  wlwhwkinih Edefua cnunwtcnwtiDwh (.s)	n	
iLofcnwt	.ihufcnwt	n	
wSwdcnwt	.cSodcnwt (.s)	n	
oSwdcnwt	.cSodcnwt (.N)	n	
cnuvitwdcnwt	.cnuvwDuk cnwkcswvwnwt cnutogegiawgWj	m	
WTwdcnwt	.cSodcnwt (.g)	n	
cnunidcnwt	.cnulihejcSwrud iawkwTcSwmuaid ukwhIm  wtwvun caeCcaea (2) .cnunidiawdwhwgWj (1)	m	
cnukcaedcnwt	.cnunidcaeawgWj (2) .cnukcaedcaenwt (1)	m	
cSodcnwt	.cSwdegWtcnwt  wdwfuzEm iDnog iaWdneaudnea iaWTcawaiSwa	n	
urodcnwt	.uLwgnwrun uLwgnwr (2) .iawbunoyeh (1)	n	
cnugnEnurodcnwt	.cnulifuncnuLoa WvunWv (2) .cnuvunikwv  uLwgnwrun uLwgnwr wtwvun iawbunoyeh (1)	m	
cnuleburodcnwt	.cnuvulifcnuLoa cnwkcnwk (2) .cnunidcnwkulWmws  cSwscaeCcaea iaWSwkwtcawtcnwk WvcnegiawSwv (1)	m	
cnuvwDukurodcnwt	.cnuvwDukidcaubEh (3) .cnuvurwvEtenEhwmwh  (2) .cnuLua cnegevuDob urukifevcsWh (1)	m	
cnugneaurodcnwt	.cnulifurodcnwt	m	
cnutedcSokikwvurodcnwt	.cnulifurodcnwt	m	
cnulifurodcnwt	.cnuviawfevurwvEgnea  cnWrukikwv iawbunoyeh iaWawmwhwnwmwh	m	
cnutedurodcnwt	.cnugnea iawbun iaWveh	m	
erodcnwt	.urodcnwt (.g)	n	
cnugneaorodcnwt	.cnugneaurodcnwt (.N)	m	
cnuleforodcnwt	.cnulifurodcnwt (.N)	m	
wtcnwt	.iSolia (.db)	n	
cnwtcnwt	.cnwtwnig eruvcSwnwtcaea	n	
uLokcnwtcnwt	.ubWsih ubWsih (3) .iawbiawb  (2) .uLokiteaitea egIheCcaea ikeaikea (1)	n	
wrWtcnwt	.eyinud  (.db) (2) .caelwm urwtcawvWlwm inwSoa (1)	n	
cnulcnwt	.cnurukWlWrud (2) .cnurukurutia (1)	m	
wDnwgcnwt	.uDnwgubWsih (2) .uDnwgcnwt (1) (.s)	n	
uDnwgcnwt	.ujurwf egWnehcnwa :uzWjwm (3) .uDnwgubWsih  (2) .uDnwgubWsih Iriawk WaegegcaehImea (1)	n	
cnuhImuDnwgcnwt	.cnuhImELua iawguDnwg ubWsihELuairid  ukwhImea (2) .cnireTcSwvwa (1)	n	
oDnwgcnwt	.uDnwgcnwt (.N)	n	
eDwgcnwt	.uDnwgcnwt (.g)	n	
urWvwDcnwt	.ipcawk wncnoa iawfcSokurwh cnwvcawlwgnea  iawguLoked egulwyir cnwkcserwtwh (.g)	n	
WDcnwt	.uDcnwt (.g) (2) .itcnWrub (1)	n	
cnureaWDcnwt	.cnubitiawfiawdin :uzWjwm (4) .cnutwgiawrubnwa  (3) .cnuvitcnWrub (2) .cnuvWtIb cnukwyWyinwa  Ebil wtwvun cnubwbws egumuvwdwgunUh (1)	m	
cnuvWDcnwt	.cnudin :uzWjwm (4) .cnuvitcnWrub (3)  .cnuvWtIb (2) .cnutwgiawrubnwa (1) (.N)	m	
WyiDcnwt	.caeaiDnwdwlwf WrukcnunEb cSwmulufua ItwmuDnok  egcnuhIm cnegiawscawa iawhwjWv iawgcaeCcaea  cSwmuaidcneg cSwnwtcaenwa cnunwtcaea itekwturwb	n	
cnunwbWyiDcnwt	.cnudeh  caemEruf cnegiawLwa urwkwv cnwTcawhwfih iawgutWrwfed  cSwmunidun wnuTcaev cSwkwtWrwf udnwLua  iawgumulEb iawlehea urwhwf udnwLua iteDob	m	
cnuLeaWyiDcnwt	.cnulWyiDcnwt	m	
cnulWyiDcnwt	.cnuvuLea wtwvun  cnunwb WyiDcnwt iawguSwfWv wncnuh iawfiawhwj  iawgcaeCcaeaea cSwmuaidcneg cSwkwnwt caeCcaea	m	
uDcnwt	.IDWt (3) .whiv (.db) (2) .eveaeruhcSwtog  ctogutWfwt ,im .caeCcaea wncnuhiawfiawdwh  cnIDukwl wtwvun cnukwCcaea InwduAwm cSwmurukudcnwb  iawpcawl iSOrod wtwvun urod (1)	n	
cnuTcaenuDcnwt	.cnudehctogEvuLuh caeCcaea wtwvun  caenwtiruhiawfcSokudcnwb cnegcSokcnunEb uDcnwt	m	
cnuLeauDcnwt	.cnudeh ctogEvuLuhun urod cnegcSokcnunEb uDcnwt	m	
cnuDeauDcnwt	.cnuLeauDcnwt (.N)	m	
uLwvuDcnwt	.uLwvOl wncnuh iawfiawdwh  cnwdcawvuLok eguDcnwt ,uriaWvuLwauDcnwt	n	
uDnwgiDnwduDcnwt	.uDnwgiDnwd  WrukcnunEb cSwmuLeauDcnwt iawgurod wlwhwkcaeawb	n	
uDnwguDcnwt	uDnwgiDnwduDcnwt	n	
oDwguDcnwt	.uDnwguDcnwt (.N)	n	
cSoguDcnwt	.cSogWtcaif (.g)	n	
eDcnwt	.uDcnwt (.g)	n	
WTwfurwveDcnwt	.cSwfWvcswruh egulwyiruDnwb (.g)	n	
wrwt	.urwhWvcnegikih iLea cSwDnwgcnib caeCcaea wdwf  udWvwd wtwvun inIkWlob (4) .urwhWv cnegiLea  caekwtitcnemis wtwvun caekwtwvua cSwkwnwt (3)  .cnurukWrukurwvcaea cSokitwfiawLwt cnwLugWywbcaenwa  iawbcaea iawgumudeh iheCcaea wdwfctwd egIrWtol  (2) .urwhWvcnegidehuDwsik iawguDnwgcnib (1)	n	
whwrwt	.Wgcnib	n	
udcawhwrwt	.udcawhwrws	n	
cnuhejiDwbwrwt	.cnuhejctWrwkws nIh	m	
wdIbwrwt	.wtcaivwh  (2) .ctWrWmia iLukcsum (1) (.db)	n	
cnurukwrwt	.cnurukurwlwm	m	
Wnwpcawrwt	.cnwpcawrwt (.g)	n	
cnwpcawrwt	.eveawfednwb iawLwa urwkwv iawguLoked  cSwtogWdun cnegevikwvikwv InWncnuh cawtudnwkim  .cawtudnwk WlcSwdUm uriaWlWb udnwLua	n	
Iqcawrwt	.cnuawawncnwa cawtulwdwboyeh (2)  .cnuaidWdcSwyiruk caemwk wtwvun caenwt (1)	n	
cnurukIqcawrwt	.cnurukurutia  urwvWdcSwairuk wtwvun urwvWviawfcsogcSwyiruk  caemwk wtwvun caenwt (3) .cnuawneg cawtulwdwboyeh  (2) .cnurukuLwgnwr cawtcawtcnwk (1)	m	
cnuvIqcawrwt	.cnuvubIzchwt (3) .cnuvuLwgnwr  cawtcawtcnwk (2) .cnuawa cawtulwdwboyeh (1)	m	
cnuvwrwt	.cnuvurwh evctwtiLea cSwkwnwt itekwt  wdwf udWvwd ,iaWrWt iaWNcnIkWlob (3) .cnuvurwh  wlwSwfItwm egumib (2) .cnuvurwlwm (1)	m	
wnwfwrwt	.caeCcaeaWkidehinof wncnuh iawfiawlurukwh iawlulet  iawdwh cnuSufwlwtcaih wtwvun cSufUDnwh	n	
Wnwfwrwt	.wnwfwrwt (.l)	n	
unwfwrwt	.wnwfwrwt (.l)	n	
itwfwrwt	.evekeCcaea WrukcnunEb iawgutog egumeaIaim  .caehwmwDuk wncnuh cSokuduh cSoduDnwb (.h)	n	
ulWfwrwt	.itofurwbwr  (3) .eveSwlOrulOr cSwtogEvelWrutwf Inwncnuhim  .evekeCcaeawlwhwk EdEfuncnefwncnuh iawfiawdwh  cnukwCcaea Wyik cnisckonilIaim .caeCcaeawncnuh  iawfiawdwh cnegiawLwa cnuheruk eguniawziDikea  iawkwTcSwmuLea iawgumuLwt (2) .caeCcaeawncnuh  iawfiawdwh cnukwCcaofOb cSwtog EdEfuncnef cSwmuruk  WviniheCcaea wncnuh iawgunwtcnwtwmWh (1)	n	
cnuLeaulWfwrwt	.cnurutef ulWfwrwt	m	
cnuvulWfwrwt	.cnuvctwt eviDwh cSwDobWm	m	
wnefwrwt	.wnwfwrwt (.s.N)	n	
wnofwrwt	.wnwfwrwt (.g)	n	
enofwrwt	.wnwfwrwt (.g)	n	
wrwtwrwt	.caELwh Wl cnegcsiawaiLur (3) .cnurekun Erekun  cnwlwb cnubwbws egcaeycawa wdwg wtwvun cnubwbws  egiawLwd wncnuh iawgcaeCcaea (2) .eveaInwl  wrwtwrwt cnegcsiawaiLur cawtcnuhIm Wviawfevcaea  (S) .evencnegiawhwj wrwtwrwt Iawyid WmIhejcnef  cSwhWtoyet (h) :ulWsim .cnureaikek (1)	an	
cnulwrwtwrwt	.cnulcaELwfcaELwh cnegcsiawaiLur (3)  .cnuvUgwdnua cSwlol cnubwbws egumuruh iawfiLeawLwd  wtwvun cnubwbwsegIlwa (2) .cnureaikek (1)	m	
cnuhejwrwtwrwt	.cnulwrwtwrwt	m	
cnuscaejwrwtwrwt	.cnulcaELwfcaELwh cnegcsiawaiLur	m	
WrOtwrwt	.umWzitcnia (2) .ubIturwt (1) (.s)	an	
uDnwgwrwt	.uDnwgWrwt (2) .uDnwgunWa  wncnoa iawgubWsih WdcnibuLWr (1)	n	
Wmwjwrwt	.Wmwjurwt (.s)	n	
Wrwt	.ctwfWrwt  (.s.N) (2) .caenwduAwm wncnuhiawfiawdwh  cnegcSokcaea cawtctwvWb egiaol (1)	n	
urubWrwt	.inUdudnifOl (.N)	n	
csIvWrwt	.caemiaub Ob wtwvun caemuaekWk iawgumwd  csIvWrwt (2) .caedWmwn ctwncnus wncnoacnwruk  iawguhwf egudWmwnWxiA eguhwmcnWFwmwr (1)	n	
udWmwncsIvWrwt	.caedWmwn Wvcnegevwdwg cnwkctwncnus wncnoa  cnwruk iawguhwf egudWmwn WxiA uhwm cnWFwmwr	n	
cnurukcsIvWrwt	.cnurukudWmwn csIvWrwt	m	
cnuDekcsIvWrwt	.cnurukcsIvWrwt (.s)	m	
cnwdcsIvWrwt	.utugwvWrukcsIvWrwt	n	
inwfutwfWrwt	.inofWr (.h)	n	
etwfWrwt	.ctwfWrwt (.g)	n	
ctwfWrwt	.evekeCcaea ELugcneg cSwmwkcnwk wdwfcnulihWTem  ,iaWmukcaekWrIaim .caeCcaea wncnuhiawfiawlcawLuaed  iawdwh cniaol cSokiDwacSwdem cnehcaehWt	n	
wdWrwt	.udWrwt (.s.N)	n	
WdWrwt	.udWrwt (.g)	n	
udWrwt	.cnwtwncnuh  iawfiawlevulwdwb wluk iawgumuyiv itofWDnwk  csWbil egcnunehcnwa (2) .caetwfwlit wDuk cSwrwv  ELugcnegcnwrik caerwvcnimudwm egItekwt wdwfcsEb  iaWscaeCcaea iruhugwa wdwfihircnwr (1)	n	
WaedWrwt	.udWrwt (.g)	n	
OlWrwt	.eveketwvWb  egOlufwkIaim .Olwncnuhiawfiawdwh ctwfWrwt	n	
uDnwgWrwt	.Wgcnib WviawfevWnWrIv	n	
irwt	.cnuhImELuk  cawtiawb uDnwgiawm iawgumclif wtwvun iawgulIscmwt  (5) .WhIm WviawfevurUhcxwm cnukwmwk (4) :uzWjwm  .caenWxin Wrwa cSwCcawm Em wtwvun cSwDnok  cnutog egcaenWxin egutwzcaia (3) .caeCcaea wncnuh  iawfiawhwruk wtwvun Wviawfiawdwh cSwtogwncnuhwyifwh  wtwvun wyifcswf (2) .evekeCcaea WvurOf  cnwkilwa iawhwjwyif cnuDua uDnwgEr Iaim .eveawfis  egcaeawLOb cSwv cSokumcaWA IkwawfisegIm .eveCcaeDob  cseveruvcSwrub Wrukurutwd eyinud iheCcaea  iawbcaenwa .eveCcaeDob eruvcSwaeyinud iheCcaea  caeawbegIm .eveaeviawfivelukea caekwtcsEg wdwfElcaid  cSwywlcaimwa iawgIm .caeCcaeauDob Wviawfidefua  cnegevcaea cawtuLokitea Wviawguvcawj (1)	n	
udnwhurirwt	.ctogWyik cSokcaea udnwh ,uria ,irwt	n	
cnulEbirwt	.cnukcaed cawtwkwhWv inof Wkcawd ukwnehirif  iawgutWg egcaehIm ELua cnegevWtih :uzWjwm	m	
wkirwt	.itekwt WviawfcSokUd  cniawfwbWk (2) .Wdum egWhIm Wviawfevurwm (1)	n	
cnuscaoairwt	.cnuaid cSwSwdubIswn (5)  .cnuawa cSwkwmuTcauh caeLwgnwr iruhibilibil wtwvun  cnuaid cnwkurUhcxwm (4) .cnuvurwm ukwhImurUhcxwm  cSwkwmwk (3) :uzWjwm .cnuvinirwt (2)  .cnuviluh csogcnegevOr iawgiawlihinig (1)	m	
cnulirwt	.cnuaidcnegiawrubirwt (.s)	m	
utwycaiburwt	.utwyiburwt	n	
utwyiburwt	.ctogWrukuDob eLugcneg (3) .cawtwfisctWm  iaWqWlcKwa itIr WviawfcnegwSwa (2) .cnurukuDob  WrukuDob iawvunWh cSwkwtctog uLwgnwr (1)	n	
cnutwyiburwt	.cnuviawfcnegwSwa cawtwfisctWm iaWqWluKwa  itIr (2) .cnuviawfinEh cSwkwtctoguLwgnwr (1)	m	
cnurukutwyiburwt	.cnuvencnegwSwa cawtwfis ctWm  iaWqWluKwaitIr (3) .cnurukuDob iawvunWh cSwkwt  ctoguLwgnwr (2) .cnurukuDob eLugcneg (1)	m	
cnubilutwyiburwt	.cnutwgwSwa cawtwfisctWm iaWqWluKwa  itIr (2) .cnunEh cSwkwtctog uLwgnwr (1)	m	
IrWkurwt	.WlifwLcauk  (b) .wgnwrum (r) .ugWscawm (n) .cnukcnwk  (S) .csckIl (h) :ulWsim ,iawb WrukcnunEb  cSwmuaek ,egIhegWhwgcswg (2) .oyekctwf (r)  .oyekubnwb (n) .IpokiDnob (S) .iSwbutWliv  (h) :ulWsim .itekwt Ebil cnihegWhwgcswg  wlwhwkcaeawb cniaeret egukwtctwvWb Enemih  iawgEret egukwtiawb uDnwgiawm egumuaek (1)	n	
oyetIrWkurwt	.oyet Wdcawfua cnukwtctwvWb  Ebil cnuhwg wtwvun cnukwtiawb eguhwgcswg	n	
uzWvurwt	.wkwhWvurutia Wkcawd cnutogELugWmwkea  cniruk egumunub caeawkwhWv WvcnunEb cnwnub	n	
uzOmurwt	.eveaeruhcaeDnwgiSod  Inwduawm wtwvun ukiTcsWlup iawgurEb iawkwTcSwmuruk  iretWkcawriLufim .eveawfWlwhwr InWncnuh  iawgEretea egILufim .caeaiLufwncnuh iawfiawdwh cnwLwa  cnefwncnuh iawfcSokinif wtwvun cnefunUh	n	
ubIturwt	.umWzitcnia Wviawfiveruk cSwLwgnwr  (2) .cnurutea Wviawfiawrutwa cSwLwgnwr (1)	n	
cnwkubIturwt	.cnwkWviawfiverukcmWzitcnia cSwLwgnwr  (2) .cnwk Wviawfiawrutwa cSwLwgnwr (1)	nan	
cnurukubIturwt	.cnuruk umWzitcnia  cSwLwgnwr (2) .cnurutea cSwLwgnwr (1)	m	
cnuvubIturwt	.cnuvumWzitcnia  cSwkwawmwhikwv wtwvun cSwkwdiAWvwqikwv	m	
cnuvWrOturwt	.cnulcSokumWzitcnia  (2) .cnuliawscawjwmwh (1) (.s)	m	
Wmwjurwt	.ulwdwb Wruk cSwkwhwb caenwa caeawkwhWv Wkcawd  wtwvun caeCcaea wncnoa iawfeyil cnukwhwbcaea	n	
unWmwjurwt	.WhImwncnuh cnEd ulIscfwt egutogiruk  caemwk cnukwtWrwf Imcswrun wtwvun cnukwaWriaWd  Imcswr (2) .WhImWrukWmwjurwt (1)	n	
